"Magnesium Technology 2010 Edited by: Sean R. Agnew, Neale R. Neelameggham, Eric A. Nyberg, and Wim H. Sillekens TMS (The Minerals, Metals & Materials Society), 2010",1

"Microstructure and Mechanical Properties of Magnesium Extrusion Alloys AM30, AZ31 and AZ61",1
"A.A. Luo1, J.H. Forsmark2, X. Sun3, S.O. Shook4, W.Z. Misiolek5, R.K. Mishra1 1 General Motors Company, Warren, MI 2 Ford Motor Company, Dearborn, MI 3 Chrysler Group LLC, Auburn Hills, MI 4 Timminco Metals, Aurora, CO 5 Lehigh University, Bethlehem, PA Keywords: magnesium, extrusion, mechanical properties, microstructure. Abstract This paper summarizes the “Extrusion and Forming” task progress made by the United States team in the Canada-China-USA “Magnesium Front End Research and Development” (MFERD) project. Mechanical properties in tension and compression were obtained in extrusion, transverse and 45 degree directions. The properties in the extrusion direction were generally better than the properties of the die cast alloys AM60 and AZ91. Significant tension-compression asymmetry (different yield strength in tension and compression) and plastic anisotropy (different plastic behavior in different directions) of these alloys are due to the strong texture developed in the extrusion process. A detailed EBSD analysis of the solid and hollow extrusions of AM30, AZ31 and AZ61 alloys was conducted to characterize the crystallographic texture developed during extrusion to fully understand its effect on the properties obtained. Introduction Solid Sections The Magnesium Front End Research & Development (MFERD) project is an effort jointly sponsored by the United States Department of Energy, the United States Automotive Materials Partnership (USAMP), the Chinese Ministry of Science and Technology (MOST) and Natural Resources Canada (NRCan) to demonstrate the technical and economic feasibility of a magnesium-intensive automotive front end body structure, which offers improved fuel economy and performance benefits in a multi-material automotive structure. The project has the goals of developing key enabling technologies and knowledge base for increased magnesium automotive body applications. The MFERD project began in early 2007 by initiating R&D in the following areas: crashworthiness, NVH (noise, vibration and harshness), fatigue and durability, corrosion and surface finishing, extrusion and forming, sheet and forming, high-integrity body casting, as well as joining and assembly. Additionally, the MFERD project is also linked to the Integrated Computational Materials Engineering (ICME) project that will investigate the processing/structure/properties relations for various magnesium alloys and manufacturing processes utilizing advanced computeraided engineering and modeling tools [1]. Magnesium alloy extrusions offer potentially more mass savings compared to magnesium castings in lightweight vehicle structural applications [2]. The primary reasons that magnesium extrusions are not used in automotive applications are their low extrudability as measured by the extrusion speed, and the lack of understanding of the mechanical properties and microstructure of the extrusion Fig. 1 shows the cross-sectional dimensions of the solid rail section studied in this project, and Table 1 lists the chemical compositions of the alloys. Some of the process conditions for making these samples at Timminco (Denver, CO) are listed as follows: • • • • • • Press: 1800 ton press Billet: 178 mm diameter X 406 mm long Extrusion ratio: ~ 6:1 Extrusion temperature: 360-380°C Extrusion exit speed: 3 m/min for AZ31 & 4.5 m/min AM30 Temper: air-quenched, no straightening. alloys. The objective in the “Extrusion and Forming” task of the MFERD project is to develop/select magnesium extrusion alloys (AM30, AZ31, AZ61, etc.) with high extrusion speeds and improved mechanical properties. The extrusion processes need to be optimized for high speed (low cost) and desirable microstructure. This task also provides extrusion samples to other tasks (such as crashworthiness, fatigue, corrosion, welding & joining in the MFERD project), and supports the ICEM activities on magnesium extrusions. This paper summarizes the “Extrusion and Forming” task progress made by the US team in the project. Solid and hollow extrusions of AM30 AZ31 and AZ61 alloys were fully characterized for grain structure and crystallographic texture. Mechanical properties in tension and compression were tested in extrusion, transverse and 45 degree directions.",1

"Experimental Procedures",1

"Table 1. Chemical compositions (in wt.%) of the magnesium extrusion alloys Alloy AZ31 AM30 AZ61 Al 3.1 3.4 6.2 Mn 0.54 0.33 0.35 Zn 1.05 0.16 0.9 Fe 0.0035 0.0026 0.0032 Ni 0.0007 0.0006 0.0007 Cu 0.0008 0.0008 0.0008",1

"Hollow Sections",-1
