"Computer Coupling of Phase Diagrams and Thermochemistry 31 (2007) 249–255 www.elsevier.com/locate/calphad",1

"Assessment of the diffusional mobilities in the face-centred cubic Au–Ni alloys",1
"J. Wang, L.B. Liu, H.S. Liu, Z.P. Jin ∗",1
"School of Materials Science and Engineering, Central South University, Chang-Sha, Hunan, 410083, PR China Received 25 August 2006; received in revised form 9 November 2006; accepted 19 November 2006 Available online 26 December 2006",1

"Abstract Based on the available thermodynamic information and diffusion coefﬁcient data of the Au–Ni system, the atomic mobility of Au and Ni in face-centred cubic (fcc) Au–Ni alloys has been assessed as a function of temperature and composition in terms of the CALPHAD method. Optimized mobility parameters are presented. Comparisons between the calculated and measured diffusion coefﬁcients show that most of the experimental information can be satisfactorily reproduced in the present work. The obtained mobility parameters can also predict a reasonable concentration proﬁle of the diffusion zone in a binary Au–Ni diffusion couple. c 2006 Elsevier Ltd. All rights reserved.",1
"Keywords: Assessment; Diffusion; Atomic mobility; CALPHAD; Au–Ni alloys",1

"1. Introduction In order to meet the requirements of high electrical conductivity and good adhesion of the soldering joint, Au/Ni thin ﬁlms are often used as an integral part of multilayer metallization on semiconductor chips and packages in the electronics industry [1–3]. Microstructure evolution resulting from interdiffusion of the elements across the interface during packaging and/or subsequent service of the electronic devices could lead to many problems, such as loss of conductivity, bonding strength and adhesion. It is believed obviously that the interdiffusion between the Au/Ni thin ﬁlms have an important inﬂuence on the mechanical and electric properties of the electronic devices. The software to simulate numerically diffusion-controlled phase transformations in multicomponent systems, named as DICTRA (DIffusion Controlled TRAnsformations), has been developed recently [4–6]. Based on the so-called local equilibrium hypothesis, DICTRA has been successfully used to deal with complex materials processes [7–10] such as cementite dissolution during austenitization, caburization and coarsening of particles in a matrix. Ghosh [3] has employed",1
"∗ Corresponding author.",1

"E-mail address: jin@mail.csu.edu.cn (Z.P. Jin). 0364-5916/$ - see front matter c 2006 Elsevier Ltd. All rights reserved. doi:10.1016/j.calphad.2006.11.006",1

"the DICTRA software to simulate the dissolution kinetics of the Ag layer in the thin-ﬁlm Ti/Ni/Ag metallization on the die side in the liquid solder with reasonable accuracy. In addition, when soldering and aging subsequently, Kirkendall voids formed through interdiffusion at the interface between solder and metallization can also be simulated and predicted using the DICTRA software. It is of signiﬁcance to control the microstructure evolution of the interface between solder and thin-ﬁlm metallization and optimize the manufacturing process in microelectronic device packages. However, simulation of microstructure evolution requires generally both thermodynamic and atomic mobility data. Moreover, the accuracy of DICTRA simulation is highly dependent on the reliability of the thermodynamic and kinetic data and the different assumptions used. So far, reliable and self-consistent thermodynamic data for many alloy systems have been developed using the CALPHAD method [11,12]. To the best of our knowledge, experimental kinetic data, e.g. diffusivity, which are often not consistent with each other from different sources, are assessed in a few alloy systems and diffusion data of many alloy systems are not created now. The better understanding of the interdiffusion between the Au/Ni thin ﬁlms is helpful to design and optimize suitable soldering and aging process. The purpose of the present work is to obtain the atomic mobilities of Au and Ni in",1

"250",0

"J. Wang et al. / Computer Coupling of Phase Diagrams and Thermochemistry 31 (2007) 249–255",1

"face-centred cubic Au–Ni alloys as a function of temperature and composition by means of a CALPHAD type of procedure. 2. Experimental information Several investigations [13–19] have been performed to measure the self-diffusion coefﬁcients of Au and the tracer diffusion coefﬁcients of Ni in the Au–Ni alloys. Using Au198 as tracing element and applying the sectioning method, Okkerse et al. [13], Makin et al. [14] and Mead et al. [15] have measured the self-diffusion coefﬁcients of Au in pure Au over different temperature ranges. Duhl et al. [16] have measured the self-diffusion coefﬁcients of Au in pure Au and the tracer diffusion coefﬁcients of Ni in pure Au using the sectioning method and the residual-activity technique, respectively. By means of autoradiographic technique, Gatos et al. [17] have measured the self-diffusion coefﬁcients of Au in pure Au over the temperature range 953–1333 K. Trace diffusion of Au198 in various Au–Ni alloys has been introduced by Kurtz et al. [18] through the autoradiographic method to measure the Au tracer diffusion coefﬁcient as a function of composition and temperature in the region of complete solid solubility. Whereas, Reynolds et al. [19] have determined the tracer diffusion coefﬁcients of Ni in various Au–Ni alloys using sectioning method. The experimental data of the tracer diffusion coefﬁcients of Au and Ni in the Au–Ni alloys mentioned above [13–19] are in good agreement with each other and are used in the present optimization. Interdiffusion coefﬁcients and intrinsic diffusion coefﬁcients in the Au–Ni alloys have been investigated by several authors [19,20,22]. Reynolds et al. [19] have measured the interdiffusion coefﬁcients in the Au–Ni alloys over the temperature range 1123–1198 K with the diffusion couple technique. Recently, Sugiyama et al. [20] have measured the interdiffusion coefﬁcients in the Au–Ni alloys over the temperature range 1023–1173 K using the multiple-markers method with Sauer–Freise analysis [21], which takes into account the total molar volume change when calculating the interdiffusion coefﬁcients. Using Sauer–Freise analysis to evaluate the concentration proﬁles of the annealed Au/Ni diffusion couples, van Dal et al. [22] have determined the interdiffusion coefﬁcients and intrinsic diffusion coefﬁcients in the Au–Ni alloys over the temperature range 1023–1173 K as well. The experimental data of the interdiffusion coefﬁcients and intrinsic diffusion coefﬁcients in the Au–Ni alloys obtained by the authors [19,20,22] are also taken into account in the present optimization. 3. Modelling of atomic mobility The temporal proﬁle of the diffusing specie k is given by the Fick’s law in the mass conservation form as following: ∂Ck = −div(Jk ) ∂t (1)",1

"Fig. 1. Calculated phase diagram of the Au–Ni binary system by Wang et al. [26].",1

"Fig. 2. Calculated temperature dependence of self-diffusion coefﬁcient of Ni by J¨ nsson [27]. o",1

"the species, Jk , in a multicomponent system is given by the Fick–Onsager law as:",1
"n−1",0

"Jk = −",0
"j=1",0

"n Dk j C j",0

"(2)",0

"n Dk j is the chemical diffusion coefﬁcient. The summation is performed over (n − 1) independent concentration as the dependent n component may be taken as the solvent. For a n substitutional solution phase, it is concluded by [5,23] that Dk j can be given by the following expression n Dk j = i",1

"where Ck is the concentration in moles per volume, and div denotes the divergence operator. The diffusional ﬂux of",1

"(δik − xk )xi Mi",0

"∂µi ∂µi − ∂x j ∂ xn",0

"(3)",0

"J. Wang et al. / Computer Coupling of Phase Diagrams and Thermochemistry 31 (2007) 249–255 Table 1 Mobility parameters of the Au–Ni system for the face-centred cubic Au–Ni alloys obtained in the present work Mobility Parameters G Au = −176 600 − 95.7 × T Au Mobility of Au G Ni = −306 500 − 25.8 × T Au",1
"0 G Au,Ni = +232 300 − 136.2 × T Au 1 G Au,Ni = +15 900 Au",0

"251",0

"Reference",1

"This work",1

"G Ni = −287 000 − 69.8 × T Ni Mobility of Ni G Au = −188 800 − 91.3 × T Ni 0 G Au,Ni = +136 200 Ni 1 G Au,Ni = −42 800 Ni",0

"[27]",0

"This work",1

"Fig. 4. Comparison between the calculated composition dependence of Au tracer diffusion coefﬁcient and experimental data from [18] in the Au–Ni alloys at different temperatures: 1073 K, 1123 K, 1173 K and 1223 K.",1

"Fig. 3. Calculated temperature dependence of self-diffusion coefﬁcient of Au compared with the experimental data from the literatures [13–18].",1

