"TT 81-58053",0

"In: C.R. Acad. Sci. Paris, Vol. 281 C, pp. 983-986,",1

"1 9 7 5 . In French",1

"0",0
"CHEMICAL METALLURGY - ON THE DIFFUSION OF SILICON IN ALUMINIUM-COPPER THIN FILMS OF INTEGRATED CIRCUITS",1

"0",0

"Article*) of Messrs. Philippe Dumoulin, Pierre Marce’, Andre‘ MayatLx and Bernard Dubois, presented by Mr. Georges Chaudron.",1

"e",0

"0",0

"The diffusion of silicon in aluminium films at 4% copper of Inm thickness has been studied Over a temperature range of 250-4500C. The frequency factor is Do = 3 . 9 x 10-3 cm2 sec‘l and the-activation energy is evaluated at 0 . 8 eV. the presence of 2 to 8 % copper content in aluminium does not modify the velocity of silicon diffusion, but increases its solubility in aluminium appreciably. These results are explained both in terms of diffusion along the dislocations, and of segregation at the incoherent interfaces between the phase8 (solid solution of the compound A12Cu) and the aluminium matrix.",1

"We shall consider a semi-conducting material composed of a single crystal of silicon of orientation [ l o o ] and a thickness of 400 nm. An epitaxial deposit of silicon contains the transistor junctions (junctions P due to boron and junctions N due to arsenic).",1

"e",0

"Fig. 1 The current cortduction is maintained by a deposit in the aluminium-copper vapour phase. Apertures performed in the silicon envelope ensure the electrical contact (Fig. 1 ) . The degradation of the properties of these films of the aluminium alloy at 4% copper is produced by a displacement of the interface due to the silicon diffusion. In order to cancel this disadvantageous diffusion, a very thin silicon alloy is deposited on the aluminium-copper alloy. During the thermal treatment, this silicon diffuses to the inside of the conductor and saturates it.",1
"*)",0

"Session of November 3 , 1 9 7 5 .",1

"-",0

"2",0

"-",0

"0",0

"0",0

